,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
189,ma-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_a4_FV,1.194(23),-0.00421(95),38.46096521323223,1.8949995287063128,0.014148427711125653,10,0.00005(28),-0.00028(76),,,,,,,,3(20),1.7(2.4),1.9(1.0),-9(33),42(36)
190,ma-ratio_FpiFpi_nnlo_alphaS_FV,1.206(21),-0.00453(91),44.34809720593134,2.1007946625288128,0.005007586803280683,10,0.00006(26),-0.00019(70),,,,,,,,-10(16),3.1(2.1),3.31(92),15(24),
191,ma-ratio_FpiFpi_nnlo_alphaS_a4_FV,1.193(23),-0.00417(95),37.45993826669197,1.997724935646627,0.008493157690636941,10,-0.00006(28),0.00010(76),,,,,,,,6(20),1.6(2.5),3.02(97),-14(33),47(36)
192,xpt_FKFK_nnlo_log_logSq_sunset_bijnens,1.1758(24),-0.00369(68),53.073413481781216,1.9366599707906704,0.011526794749505504,0,-0.0008(17),-0.00080(55),0.00028(14),0.00031(16),-0.0039(15),-0.00006(10),-0.00038(17),0.00019(10),,-4.07(44),0.3(4.8),-1.8(2.8),,
193,xpt_FKFK_nnlo_log_logSq_sunset_a4_bijnens,1.1874(44),-0.00401(70),50.656847808581034,1.367364361020747,0.1414371846395227,0,-0.0007(22),-0.00026(60),0.00029(14),0.00032(16),-0.0034(15),-0.00006(10),-0.00034(17),0.00020(10),,-9.7(1.9),0.3(4.6),-1.0(2.5),,72(23)
194,xpt_FKFK_nnlo_log_logSq_sunset,1.1758(25),-0.00369(68),52.40056084361845,2.002173325007166,0.008304401716366264,0,-0.0008(18),-0.00084(88),-0.00002(29),-0.00008(33),-0.0032(28),3(1000)e-07,-0.00018(33),-0.00003(20),,-4.07(44),0.2(4.8),-1.6(3.0),,
195,xpt_FKFK_nnlo_log_logSq_sunset_a4,1.1884(47),-0.00404(70),50.5044249166804,1.4033432699732749,0.12337735455143307,0,-0.0009(27),0.00006(98),-0.00001(29),-0.00003(33),-0.0016(27),-4(10000)e-08,-0.00003(34),-5(201)e-06,,-10.0(1.9),0.5(4.4),-0.4(2.5),,76(24)
196,xpt_FKFK_nnlo_logSq_sunset,1.1770(24),-0.00372(68),54.20290559457396,1.9164322713362605,0.012737253684836894,0,-0.0031(26),-0.00102(62),,,,,,,,-4.59(56),1.7(4.5),-2.8(3.0),,
197,xpt_FKFK_nnlo_logSq_sunset_a4,1.1898(51),-0.00408(70),51.33708481964384,1.4205701250154363,0.115424464400219,0,-0.0012(27),0.00030(86),,,,,,,,-10.2(2.0),0.6(4.5),0.6(3.3),,79(29)
198,xpt_FKFK_nnlo,1.1787(23),-0.00377(68),51.80313361878761,2.2068220389879065,0.002863093663820557,0,-0.0031(26),-0.00063(64),,,,,,,,-4.57(57),1.7(4.5),-1.8(3.0),,
199,xpt_FKFK_nnlo_a4,1.1928(52),-0.00416(70),49.92004471632879,1.5964275955599847,0.0560566755446639,0,-0.0011(27),0.00079(88),,,,,,,,-10.8(2.1),0.6(4.5),1.6(3.2),,87(29)
200,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_bijnens,1.211(12),-0.00467(79),54.59408046928733,1.4199811744335895,0.1156891854889567,0,-0.0012(21),-0.00031(59),0.00029(14),0.00032(16),-0.0035(15),-0.00006(10),-0.00035(17),0.00020(10),,-46(14),0.5(4.6),-2.2(2.6),63(21),
201,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_a4_bijnens,1.198(16),-0.00432(83),48.30628629482438,1.3367639868907395,0.15841971606797658,0,-0.0009(22),-0.00022(60),0.00029(14),0.00032(16),-0.0034(15),-0.00006(10),-0.00034(17),0.00020(10),,-26(22),0.4(4.6),-1.5(2.6),27(37),49(41)
202,xpt_FKFK_nnlo_log_logSq_sunset_alphaS,1.212(13),-0.00471(79),54.208330616785354,1.4689262151217957,0.09534381827378202,0,-0.0014(26),-0.00013(94),-0.00001(29),-0.00004(33),-0.0022(27),1(1000)e-07,-0.00005(34),-8(201)e-06,,-47(15),0.7(4.6),-1.7(2.6),65(22),
203,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_a4,1.199(16),-0.00435(83),48.145876290055035,1.3728632620332175,0.13854623202463784,0,-0.0011(29),0.00009(98),-10(288)e-06,-0.00003(33),-0.0016(27),-7(10000)e-08,-0.00002(34),-4(201)e-06,,-26(22),0.6(4.4),-0.8(2.5),26(37),53(41)
204,xpt_FKFK_nnlo_logSq_sunset_alphaS,1.214(15),-0.00476(83),55.07180658321208,1.4985967532961582,0.08454819848988637,0,-0.0021(26),0.00018(86),,,,,,,,-48(17),1.1(4.5),-0.8(3.1),66(26),
205,xpt_FKFK_nnlo_logSq_sunset_alphaS_a4,1.202(17),-0.00441(85),49.02692394506436,1.3885373176122506,0.13056704303713718,0,-0.0013(27),0.00044(90),,,,,,,,-27(23),0.7(4.5),0.5(3.2),28(38),57(41)
206,xpt_FKFK_nnlo_alphaS,1.219(15),-0.00490(83),53.403383058048746,1.7034208814062526,0.0349139143008847,0,-0.0021(27),0.00063(89),,,,,,,,-52(17),1.1(4.5),0.04(3.09),71(27),
207,xpt_FKFK_nnlo_alphaS_a4,1.205(17),-0.00450(85),47.612225031715404,1.5633432796492104,0.06457292346753041,0,-0.0012(27),0.00091(92),,,,,,,,-27(23),0.7(4.5),1.4(3.2),28(38),64(41)
208,xpt_FKFK_nnlo_log_logSq_sunset_FV_bijnens,1.1780(27),-0.00375(68),59.71172236682305,1.1115090958049705,0.3345542840072561,10,-0.0013(14),-0.00120(54),0.00028(14),0.00031(16),-0.0037(15),-0.00006(10),-0.00037(17),0.00020(10),,-4.97(44),0.4(4.8),-3.6(3.0),,
209,xpt_FKFK_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1875(46),-0.00401(70),55.563237763415096,0.7341625825564567,0.7701922582841838,10,-0.0014(17),-0.00078(58),0.00029(14),0.00032(16),-0.0033(15),-0.00006(10),-0.00034(17),0.00020(10),,-9.7(1.9),0.5(4.8),-2.7(2.8),,60(24)
