input used:
# mp0 :  0.130000000000000
# mk0 :  0.450000000000000
# f0  :  0.087700000000000
# mu  :  0.770000000000000
# Li set :  fitBE14
#mu : 0.77
#L1r  L2r  L3r :0.000528552266181 0.000814177210776 -0.00307190158082
#L4r  L5r  L6r :0.0003 0.001014976780543 0.000144108338197
#L7r  L8r  L9r :-0.000342935304325 0.000473156165745 0.00593
#L10r H1r  H2r :0 0 0
output for m_pi L = 2
       1    2    2  -1.09899e-07  -1.45909e-07  -1.06335e-05  -1.01405e-05  -3.56562e-07  -8.71001e-07
     0.1    5    5  -1.09899e-07  -1.45912e-07  -1.06335e-05  -1.05907e-05   -1.0215e-06  -9.39092e-07
    0.01   10   10  -1.09899e-07  -1.45912e-07  -1.06317e-05  -1.06303e-05  -9.69551e-07  -8.99338e-07
   0.001   20   20  -1.09899e-07  -1.45912e-07  -1.06091e-05  -1.06315e-05  -8.96148e-07  -9.02437e-07
  0.0001   40   40  -1.09899e-07  -1.45912e-07  -1.06127e-05  -1.06315e-05  -8.98594e-07   -9.0251e-07
   1e-05   80   40  -1.53315e-07  -1.45912e-07  -1.06303e-05  -1.06315e-05  -8.92106e-07  -9.02523e-07
 eps maxonesum maxtwosum qqup4loVt   qqup4loVb   qqup6LloVt     qqup6LloVb     qqup6RloVt     qqup6RloVb
      10    1    1     -0.001988   -0.00156341  -9.44663e-06  -5.33402e-06   4.66443e-05   3.46699e-05
       1    2    2     -0.001988   -0.00191001  -9.44663e-06  -8.32405e-06   4.66443e-05   4.41196e-05
     0.1    5    5     -0.001988    -0.0019798  -9.44663e-06  -9.32158e-06   4.66443e-05   4.63657e-05
    0.01   10   10     -0.001988    -0.0019856  -9.44663e-06  -9.45476e-06   4.66443e-05   4.65939e-05
   0.001   20   20   -0.00198563   -0.00198577  -9.45867e-06  -9.46081e-06   4.66054e-05   4.66023e-05
  0.0001   40   40   -0.00198574   -0.00198577  -9.45771e-06  -9.46088e-06   4.66071e-05   4.66024e-05
   1e-05   80   40   -0.00198577   -0.00198577  -9.45715e-06  -9.46088e-06   4.66091e-05   4.66024e-05
 eps maxonesum maxtwosum qqstrange4loVt qqstrange4loVb qqstrange6LloVt qqstrange6LloVb qqstrange6RloVt qqstrange6RloVb
      10    1    1  -1.52728e-07  -2.03364e-07   8.02264e-07   6.21363e-07   1.12218e-06   8.58415e-07
       1    2    2  -1.52728e-07  -2.04119e-07   8.02264e-07   7.64814e-07   1.12218e-06   1.06413e-06
     0.1    5    5  -1.52728e-07  -2.04124e-07   8.02264e-07   7.93722e-07   1.12218e-06   1.10562e-06
    0.01   10   10  -1.52728e-07  -2.04124e-07   8.02264e-07   7.96124e-07   1.12218e-06   1.10907e-06
   0.001   20   20  -1.52728e-07  -2.04124e-07   8.01282e-07   7.96195e-07   1.12077e-06   1.10917e-06
  0.0001   40   40  -1.52728e-07  -2.04124e-07   8.01332e-07   7.96196e-07   1.12084e-06   1.10917e-06
   1e-05   80   40  -2.10616e-07  -2.04124e-07   8.03593e-07   7.96196e-07   1.12341e-06   1.10917e-06
